Ogrenci;AU;AT;EKB;PER;DK;OK;KCK;K_KKT;DCK;D_KKT
24050060;"0,00";"30,00";"2,78";"32,78";"7,00";"3,00";"37,00";"11,00";"17,50";"2,50"
24050180;"10,00";"25,00";"3,24";"38,24";"7,00";"5,00";"35,00";"12,00";"30,00";"0,00"
24050131;"14,00";"25,00";"4,12";"43,12";"8,00";"5,00";"40,00";"10,00";"75,00";"5,00"
24050130;"10,00";"31,67";"3,73";"45,40";"5,00";"3,00";"65,00";"16,00";"40,00";"10,00"
23050462;"21,00";"25,00";"0,00";"46,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
23050283;"14,00";"31,67";"3,86";"49,53";"8,00";"5,00";"40,00";"18,00";"20,00";"5,00"
23050305;"28,00";"25,00";"0,00";"53,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
23050401;"36,00";"26,67";"0,45";"63,12";"2,00";"1,00";"0,00";"0,00";"0,00";"0,00"
24050406;"27,00";"31,67";"4,70";"63,37";"8,00";"4,00";"65,00";"14,00";"70,00";"12,50"
24050397;"27,00";"31,67";"5,37";"64,04";"8,00";"5,00";"60,00";"18,00";"65,00";"20,00"
23050499;"42,00";"23,33";"0,00";"65,33";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
24050229;"28,00";"35,00";"5,14";"68,14";"8,00";"5,00";"80,00";"18,00";"50,00";"15,00"
23050252;"45,00";"23,33";"0,25";"68,58";"2,00";"0,00";"0,00";"0,00";"0,00";"0,00"
24050143;"40,00";"25,00";"4,75";"69,75";"8,00";"5,00";"68,50";"14,00";"45,00";"15,00"
23050051;"41,00";"30,00";"0,33";"71,33";"1,00";"1,00";"0,00";"0,00";"0,00";"0,00"
24050308;"38,00";"31,67";"3,37";"73,04";"7,00";"0,00";"90,00";"18,00";"40,00";"2,50"
24050137;"39,00";"30,00";"4,56";"73,56";"7,00";"5,00";"55,00";"13,00";"55,00";"15,00"
23050508;"45,00";"28,33";"1,05";"74,38";"2,00";"4,00";"0,00";"0,00";"0,00";"0,00"
23050648;"35,00";"36,67";"3,44";"75,11";"5,00";"5,00";"90,00";"0,00";"0,00";"18,00"
24050288;"44,00";"33,33";"1,94";"79,27";"7,00";"4,00";"0,00";"5,00";"0,00";"0,00"
24050120;"42,00";"33,33";"4,04";"79,37";"7,00";"5,00";"68,00";"9,00";"40,00";"10,00"
24050484;"41,00";"33,33";"5,11";"79,44";"7,00";"5,00";"65,00";"18,00";"70,00";"15,00"
24050394;"54,00";"25,00";"4,28";"83,28";"5,00";"4,00";"66,00";"13,00";"60,00";"15,00"
24050174;"44,00";"36,67";"3,41";"84,08";"8,00";"5,00";"50,00";"10,00";"0,00";"7,50"
23050211;"52,00";"31,67";"1,88";"85,55";"7,00";"5,00";"0,00";"0,00";"0,00";"0,00"
24050125;"48,00";"33,33";"4,25";"85,58";"7,00";"4,00";"0,00";"18,00";"70,00";"15,00"
24050477;"52,00";"30,00";"4,03";"86,03";"6,00";"5,00";"55,00";"6,00";"72,50";"10,00"
24050391;"50,00";"35,00";"1,60";"86,60";"8,00";"3,00";"0,00";"0,00";"0,00";"0,00"
24050387;"60,00";"25,00";"1,60";"86,60";"8,00";"3,00";"0,00";"0,00";"0,00";"0,00"
24050086;"54,00";"30,00";"3,21";"87,21";"7,00";"4,00";"45,00";"11,00";"40,00";"0,00"
23050174;"52,00";"36,67";"0,00";"88,67";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
24050321;"48,00";"36,67";"4,66";"89,33";"8,00";"5,00";"60,00";"14,00";"75,00";"7,50"
24050175;"49,00";"35,00";"5,42";"89,42";"7,00";"3,00";"98,00";"18,00";"80,00";"20,00"
24050188;"50,00";"36,67";"3,29";"89,96";"7,00";"4,00";"65,00";"18,00";"0,00";"0,00"
24050239;"60,00";"26,67";"4,34";"91,01";"8,00";"3,00";"85,00";"0,00";"70,00";"20,00"
24050116;"60,00";"30,00";"3,26";"93,26";"8,00";"4,00";"55,00";"17,00";"0,00";"0,00"
24050066;"60,00";"28,33";"5,20";"93,53";"8,00";"5,00";"62,00";"12,00";"75,00";"20,00"
24050294;"60,00";"31,67";"3,25";"94,92";"8,00";"5,00";"55,00";"0,00";"45,00";"2,50"
24050343;"57,00";"33,33";"5,19";"95,52";"8,00";"5,00";"90,00";"17,00";"50,00";"15,00"
24050057;"57,00";"35,00";"4,58";"96,58";"8,00";"5,00";"60,00";"10,00";"55,00";"15,00"
23050663;"56,00";"38,33";"4,01";"98,34";"8,00";"4,00";"45,00";"0,00";"60,00";"20,00"
24050265;"59,00";"35,00";"5,22";"99,22";"5,00";"5,00";"70,00";"18,00";"75,00";"20,00"
24050361;"59,00";"35,00";"5,48";"99,48";"5,00";"5,00";"90,00";"19,00";"75,00";"20,00"